,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
252,103 ST-CORONA,01/17/2020,19929,21026,1202,0.9446630347054076
253,103 ST-CORONA,01/18/2020,12585,21026,1202,0.5742029862792575
254,103 ST-CORONA,01/19/2020,10335,21026,1202,0.4607041969330105
255,103 ST-CORONA,01/20/2020,15308,21026,1202,0.7115617433414043
256,103 ST-CORONA,01/21/2020,19278,21026,1202,0.9118240516545602
257,103 ST-CORONA,01/22/2020,19492,21026,1202,0.9226190476190477
258,103 ST-CORONA,01/23/2020,19370,21026,1202,0.9164648910411622
259,103 ST-CORONA,01/24/2020,19937,21026,1202,0.9450665859564165
260,103 ST-CORONA,01/25/2020,12986,21026,1202,0.5944309927360775
261,103 ST-CORONA,01/26/2020,10707,21026,1202,0.4794693301049233
262,103 ST-CORONA,01/27/2020,19709,21026,1202,0.9335653753026635
263,103 ST-CORONA,01/28/2020,20482,21026,1202,0.9725585149313963
264,103 ST-CORONA,01/29/2020,20533,21026,1202,0.9751311541565779
265,103 ST-CORONA,01/30/2020,20145,21026,1202,0.9555589184826473
266,103 ST-CORONA,01/31/2020,20622,21026,1202,0.9796206618240516
267,103 ST-CORONA,02/01/2020,13516,21026,1202,0.6211662631154157
268,103 ST-CORONA,02/02/2020,9798,21026,1202,0.4336158192090395
269,103 ST-CORONA,02/03/2020,20145,21026,1202,0.9555589184826473
270,103 ST-CORONA,02/04/2020,20529,21026,1202,0.9749293785310734
271,103 ST-CORONA,02/05/2020,20907,21026,1202,0.993997175141243
272,103 ST-CORONA,02/06/2020,20419,21026,1202,0.9693805488297014
273,103 ST-CORONA,02/07/2020,20581,21026,1202,0.9775524616626311
274,103 ST-CORONA,02/08/2020,13527,21026,1202,0.6217211460855528
275,103 ST-CORONA,02/09/2020,9470,21026,1202,0.41707021791767557
276,103 ST-CORONA,02/10/2020,19699,21026,1202,0.9330609362389023
277,103 ST-CORONA,02/11/2020,20209,21026,1202,0.9587873284907183
278,103 ST-CORONA,02/12/2020,20750,21026,1202,0.9860774818401937
279,103 ST-CORONA,02/13/2020,20702,21026,1202,0.9836561743341404
280,103 ST-CORONA,02/14/2020,21026,21026,1202,1.0
281,103 ST-CORONA,02/15/2020,12904,21026,1202,0.5902945924132365
282,103 ST-CORONA,02/16/2020,9944,21026,1202,0.4409806295399516
283,103 ST-CORONA,02/17/2020,15607,21026,1202,0.7266444713478611
284,103 ST-CORONA,02/18/2020,19111,21026,1202,0.9033999192897498
285,103 ST-CORONA,02/19/2020,19601,21026,1202,0.9281174334140436
286,103 ST-CORONA,02/20/2020,19077,21026,1202,0.9016848264729621
287,103 ST-CORONA,02/21/2020,19165,21026,1202,0.9061238902340597
288,103 ST-CORONA,02/22/2020,13287,21026,1202,0.6096146085552865
289,103 ST-CORONA,02/23/2020,10027,21026,1202,0.4451674737691687
290,103 ST-CORONA,02/24/2020,20078,21026,1202,0.9521791767554479
291,103 ST-CORONA,02/25/2020,20332,21026,1202,0.9649919289749799
292,103 ST-CORONA,02/26/2020,20686,21026,1202,0.9828490718321227
293,103 ST-CORONA,02/27/2020,20617,21026,1202,0.9793684422921711
294,103 ST-CORONA,02/28/2020,20554,21026,1202,0.9761904761904762
295,103 ST-CORONA,02/29/2020,13161,21026,1202,0.6032586763518967
296,103 ST-CORONA,03/01/2020,9539,21026,1202,0.4205508474576271
297,103 ST-CORONA,03/02/2020,20002,21026,1202,0.9483454398708636
298,103 ST-CORONA,03/03/2020,20519,21026,1202,0.9744249394673123
299,103 ST-CORONA,03/04/2020,20848,21026,1202,0.9910209846650525
300,103 ST-CORONA,03/05/2020,20784,21026,1202,0.9877925746569814
301,103 ST-CORONA,03/06/2020,20431,21026,1202,0.9699858757062146
302,103 ST-CORONA,03/07/2020,13355,21026,1202,0.6130447941888619
303,103 ST-CORONA,03/08/2020,8853,21026,1202,0.3859463276836158
304,103 ST-CORONA,03/09/2020,19404,21026,1202,0.91817998385795
305,103 ST-CORONA,03/10/2020,19249,21026,1202,0.9103611783696529
306,103 ST-CORONA,03/11/2020,19214,21026,1202,0.9085956416464891
307,103 ST-CORONA,03/12/2020,18291,21026,1202,0.8620359160613398
308,103 ST-CORONA,03/13/2020,17599,21026,1202,0.8271287328490718
309,103 ST-CORONA,03/14/2020,10585,21026,1202,0.47331517352703795
310,103 ST-CORONA,03/15/2020,7242,21026,1202,0.304681194511703
311,103 ST-CORONA,03/16/2020,13127,21026,1202,0.601543583535109
312,103 ST-CORONA,03/17/2020,11106,21026,1202,0.4995964487489911
313,103 ST-CORONA,03/18/2020,10394,21026,1202,0.463680387409201
314,103 ST-CORONA,03/19/2020,9256,21026,1202,0.40627522195318805
315,103 ST-CORONA,03/20/2020,9075,21026,1202,0.3971448748991122
316,103 ST-CORONA,03/21/2020,4755,21026,1202,0.179227199354318
317,103 ST-CORONA,03/22/2020,2621,21026,1202,0.07157990314769976
318,103 ST-CORONA,03/23/2020,4054,21026,1202,0.14386602098466506
319,103 ST-CORONA,03/24/2020,4334,21026,1202,0.1579903147699758
320,103 ST-CORONA,03/25/2020,3835,21026,1202,0.13281880548829703
321,103 ST-CORONA,03/26/2020,3815,21026,1202,0.13180992736077482
322,103 ST-CORONA,03/27/2020,3732,21026,1202,0.1276230831315577
323,103 ST-CORONA,03/28/2020,2110,21026,1202,0.04580306698950767
324,103 ST-CORONA,03/29/2020,1538,21026,1202,0.01694915254237288
325,103 ST-CORONA,03/30/2020,2877,21026,1202,0.08449354317998385
326,103 ST-CORONA,03/31/2020,2484,21026,1202,0.06466908797417271
327,103 ST-CORONA,04/01/2020,2601,21026,1202,0.07057102502017756
328,103 ST-CORONA,04/02/2020,2438,21026,1202,0.06234866828087167
329,103 ST-CORONA,04/03/2020,2476,21026,1202,0.06426553672316385
330,103 ST-CORONA,04/04/2020,1620,21026,1202,0.021085552865213884
331,103 ST-CORONA,04/05/2020,1243,21026,1202,0.0020682001614205003
