,Station,Date,num_entries
464,111 ST,01/10/2020,15927
465,111 ST,01/11/2020,8950
466,111 ST,01/12/2020,6566
467,111 ST,01/13/2020,15504
468,111 ST,01/14/2020,15594
469,111 ST,01/15/2020,15924
470,111 ST,01/16/2020,15773
471,111 ST,01/17/2020,15501
472,111 ST,01/18/2020,8887
473,111 ST,01/19/2020,7416
474,111 ST,01/20/2020,11399
475,111 ST,01/21/2020,14115
476,111 ST,01/22/2020,15251
477,111 ST,01/23/2020,15275
478,111 ST,01/24/2020,15194
479,111 ST,01/25/2020,8085
480,111 ST,01/26/2020,6510
481,111 ST,01/27/2020,15200
482,111 ST,01/28/2020,16052
483,111 ST,01/29/2020,16097
484,111 ST,01/30/2020,15931
485,111 ST,01/31/2020,15908
486,111 ST,02/01/2020,28734
487,111 ST,02/02/2020,21020
488,111 ST,02/03/2020,15775
489,111 ST,02/04/2020,16286
490,111 ST,02/05/2020,16332
491,111 ST,02/06/2020,16029
492,111 ST,02/07/2020,16149
493,111 ST,02/08/2020,28924
494,111 ST,02/09/2020,20302
495,111 ST,02/10/2020,15787
496,111 ST,02/11/2020,15974
497,111 ST,02/12/2020,16502
498,111 ST,02/13/2020,16341
499,111 ST,02/14/2020,16127
500,111 ST,02/15/2020,28058
501,111 ST,02/16/2020,22393
502,111 ST,02/17/2020,36371
503,111 ST,02/18/2020,15074
504,111 ST,02/19/2020,15251
505,111 ST,02/20/2020,14845
506,111 ST,02/21/2020,14716
507,111 ST,02/22/2020,29943
508,111 ST,02/23/2020,22088
509,111 ST,02/24/2020,16016
510,111 ST,02/25/2020,16112
511,111 ST,02/26/2020,16169
512,111 ST,02/27/2020,16270
513,111 ST,02/28/2020,16090
514,111 ST,02/29/2020,28672
515,111 ST,03/01/2020,21011
516,111 ST,03/02/2020,16164
517,111 ST,03/03/2020,16250
518,111 ST,03/04/2020,16375
519,111 ST,03/05/2020,16314
520,111 ST,03/06/2020,15978
521,111 ST,03/07/2020,27600
522,111 ST,03/08/2020,17962
523,111 ST,03/09/2020,15322
524,111 ST,03/10/2020,15345
525,111 ST,03/11/2020,13937
526,111 ST,03/12/2020,14457
527,111 ST,03/13/2020,13414
528,111 ST,03/14/2020,7637
529,111 ST,03/15/2020,5121
530,111 ST,03/16/2020,10002
531,111 ST,03/17/2020,8327
532,111 ST,03/18/2020,7839
533,111 ST,03/19/2020,7085
534,111 ST,03/20/2020,6926
535,111 ST,03/21/2020,3605
536,111 ST,03/22/2020,2104
537,111 ST,03/23/2020,3204
538,111 ST,03/24/2020,3406
539,111 ST,03/25/2020,3157
540,111 ST,03/26/2020,3179
541,111 ST,03/27/2020,3077
542,111 ST,12/28/2019,10422
543,111 ST,12/29/2019,7966
544,111 ST,12/30/2019,13373
545,111 ST,12/31/2019,12672
546,116 ST,01/01/2020,12475
547,116 ST,01/02/2020,26123
548,116 ST,01/03/2020,27260
549,116 ST,01/04/2020,16784
550,116 ST,01/05/2020,14804
551,116 ST,01/06/2020,29170
552,116 ST,01/07/2020,29821
553,116 ST,01/08/2020,30016
554,116 ST,01/09/2020,29778
555,116 ST,01/10/2020,30458
556,116 ST,01/11/2020,18292
557,116 ST,01/12/2020,14887
558,116 ST,01/13/2020,29265
559,116 ST,01/14/2020,29789
560,116 ST,01/15/2020,30487
561,116 ST,01/16/2020,29113
562,116 ST,01/17/2020,29650
563,116 ST,01/18/2020,15816
564,116 ST,01/19/2020,13749
565,116 ST,01/20/2020,18193
566,116 ST,01/21/2020,28435
