,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
166,103 ST,03/16/2020,11976,28698,2812,0.3540137526075871
167,103 ST,03/17/2020,10217,28698,2812,0.2860619639959824
168,103 ST,03/18/2020,9759,28698,2812,0.26836900254964074
169,103 ST,03/19/2020,8464,28698,2812,0.21834196090550878
170,103 ST,03/20/2020,7773,28698,2812,0.19164799505524222
171,103 ST,03/21/2020,3994,28698,2812,0.04566174766282933
172,103 ST,03/22/2020,2812,28698,2812,0.0
173,103 ST,03/23/2020,4901,28698,2812,0.08069999227381597
174,103 ST,03/24/2020,4977,28698,2812,0.0836359422081434
175,103 ST,03/25/2020,4698,28698,2812,0.07285791547554663
176,103 ST,03/26/2020,4624,28698,2812,0.06999922738159622
177,103 ST,03/27/2020,4834,28698,2812,0.0781117206211852
178,103 ST,12/28/2019,14479,28698,2812,0.45070694583944987
179,103 ST,12/29/2019,12581,28698,2812,0.377385459321641
180,103 ST,12/30/2019,21214,28698,2812,0.7108861933091246
181,103 ST,12/31/2019,20817,28698,2812,0.6955497179942827
182,103 ST-CORONA,01/01/2020,7879,21026,2621,0.2856832382504754
183,103 ST-CORONA,01/02/2020,18848,21026,2621,0.8816625916870415
184,103 ST-CORONA,01/03/2020,19346,21026,2621,0.908720456397718
185,103 ST-CORONA,01/04/2020,13406,21026,2621,0.5859820700896495
186,103 ST-CORONA,01/05/2020,10266,21026,2621,0.41537625645205106
187,103 ST-CORONA,01/06/2020,19654,21026,2621,0.9254550393914697
188,103 ST-CORONA,01/07/2020,19678,21026,2621,0.9267590328715023
189,103 ST-CORONA,01/08/2020,20009,21026,2621,0.9447432762836185
190,103 ST-CORONA,01/09/2020,19739,21026,2621,0.9300733496332518
191,103 ST-CORONA,01/10/2020,20423,21026,2621,0.9672371638141809
192,103 ST-CORONA,01/11/2020,14079,21026,2621,0.6225482205922304
193,103 ST-CORONA,01/12/2020,10514,21026,2621,0.4288508557457213
194,103 ST-CORONA,01/13/2020,19537,21026,2621,0.9190980711763108
195,103 ST-CORONA,01/14/2020,19752,21026,2621,0.9307796794349361
196,103 ST-CORONA,01/15/2020,20383,21026,2621,0.9650638413474599
197,103 ST-CORONA,01/16/2020,20272,21026,2621,0.9590328715023092
198,103 ST-CORONA,01/17/2020,19929,21026,2621,0.9403966313501766
199,103 ST-CORONA,01/18/2020,12585,21026,2621,0.5413746264602011
200,103 ST-CORONA,01/19/2020,10335,21026,2621,0.41912523770714477
201,103 ST-CORONA,01/20/2020,15308,21026,2621,0.6893235533822331
202,103 ST-CORONA,01/21/2020,19278,21026,2621,0.9050258082042923
203,103 ST-CORONA,01/22/2020,19492,21026,2621,0.9166530834012496
204,103 ST-CORONA,01/23/2020,19370,21026,2621,0.9100244498777507
205,103 ST-CORONA,01/24/2020,19937,21026,2621,0.9408312958435208
206,103 ST-CORONA,01/25/2020,12986,21026,2621,0.563162184189079
207,103 ST-CORONA,01/26/2020,10707,21026,2621,0.4393371366476501
208,103 ST-CORONA,01/27/2020,19709,21026,2621,0.9284433577832111
209,103 ST-CORONA,01/28/2020,20482,21026,2621,0.9704428144525944
210,103 ST-CORONA,01/29/2020,20533,21026,2621,0.9732138005976637
211,103 ST-CORONA,01/30/2020,20145,21026,2621,0.95213257267047
212,103 ST-CORONA,01/31/2020,20622,21026,2621,0.9780494430861179
213,103 ST-CORONA,02/01/2020,13516,21026,2621,0.5919587068731323
214,103 ST-CORONA,02/02/2020,9798,21026,2621,0.38994838359141537
215,103 ST-CORONA,02/03/2020,20145,21026,2621,0.95213257267047
216,103 ST-CORONA,02/04/2020,20529,21026,2621,0.9729964683509916
217,103 ST-CORONA,02/05/2020,20907,21026,2621,0.993534365661505
218,103 ST-CORONA,02/06/2020,20419,21026,2621,0.9670198315675088
219,103 ST-CORONA,02/07/2020,20581,21026,2621,0.9758217875577289
220,103 ST-CORONA,02/08/2020,13527,21026,2621,0.5925563705514806
221,103 ST-CORONA,02/09/2020,9470,21026,2621,0.3721271393643032
222,103 ST-CORONA,02/10/2020,19699,21026,2621,0.9279000271665309
223,103 ST-CORONA,02/11/2020,20209,21026,2621,0.9556098886172236
224,103 ST-CORONA,02/12/2020,20750,21026,2621,0.985004074979625
225,103 ST-CORONA,02/13/2020,20702,21026,2621,0.9823960880195599
226,103 ST-CORONA,02/14/2020,21026,21026,2621,1.0
227,103 ST-CORONA,02/15/2020,12904,21026,2621,0.558706873132301
228,103 ST-CORONA,02/16/2020,9944,21026,2621,0.397881010594947
229,103 ST-CORONA,02/17/2020,15607,21026,2621,0.7055691388209726
230,103 ST-CORONA,02/18/2020,19111,21026,2621,0.8959521869057321
231,103 ST-CORONA,02/19/2020,19601,21026,2621,0.9225753871230644
232,103 ST-CORONA,02/20/2020,19077,21026,2621,0.8941048628090192
233,103 ST-CORONA,02/21/2020,19165,21026,2621,0.8988861722358055
234,103 ST-CORONA,02/22/2020,13287,21026,2621,0.5795164357511545
235,103 ST-CORONA,02/23/2020,10027,21026,2621,0.4023906547133931
236,103 ST-CORONA,02/24/2020,20078,21026,2621,0.9484922575387124
237,103 ST-CORONA,02/25/2020,20332,21026,2621,0.9622928552023906
238,103 ST-CORONA,02/26/2020,20686,21026,2621,0.9815267590328715
239,103 ST-CORONA,02/27/2020,20617,21026,2621,0.9777777777777777
240,103 ST-CORONA,02/28/2020,20554,21026,2621,0.9743547948926922
241,103 ST-CORONA,02/29/2020,13161,21026,2621,0.5726704699809835
242,103 ST-CORONA,03/01/2020,9539,21026,2621,0.3758761206193969
243,103 ST-CORONA,03/02/2020,20002,21026,2621,0.9443629448519424
244,103 ST-CORONA,03/03/2020,20519,21026,2621,0.9724531377343113
245,103 ST-CORONA,03/04/2020,20848,21026,2621,0.9903287150230915
246,103 ST-CORONA,03/05/2020,20784,21026,2621,0.9868513990763379
247,103 ST-CORONA,03/06/2020,20431,21026,2621,0.9676718283075252
248,103 ST-CORONA,03/07/2020,13355,21026,2621,0.5832110839445803
249,103 ST-CORONA,03/08/2020,8853,21026,2621,0.33860364031513174
250,103 ST-CORONA,03/09/2020,19404,21026,2621,0.9118717739744635
251,103 ST-CORONA,03/10/2020,19249,21026,2621,0.9034501494159196
252,103 ST-CORONA,03/11/2020,19214,21026,2621,0.9015484922575387
253,103 ST-CORONA,03/12/2020,18291,21026,2621,0.8513990763379516
254,103 ST-CORONA,03/13/2020,17599,21026,2621,0.8138005976636783
255,103 ST-CORONA,03/14/2020,10585,21026,2621,0.43270850312415104
256,103 ST-CORONA,03/15/2020,7242,21026,2621,0.2510730779679435
257,103 ST-CORONA,03/16/2020,13127,21026,2621,0.5708231458842706
258,103 ST-CORONA,03/17/2020,11106,21026,2621,0.46101602825319205
259,103 ST-CORONA,03/18/2020,10394,21026,2621,0.42233088834555826
260,103 ST-CORONA,03/19/2020,9256,21026,2621,0.3604998641673458
261,103 ST-CORONA,03/20/2020,9075,21026,2621,0.3506655800054333
262,103 ST-CORONA,03/21/2020,4755,21026,2621,0.11594675359956534
263,103 ST-CORONA,03/22/2020,2621,21026,2621,0.0
264,103 ST-CORONA,03/23/2020,4054,21026,2621,0.07785927737027981
265,103 ST-CORONA,03/24/2020,4334,21026,2621,0.09307253463732681
266,103 ST-CORONA,03/25/2020,3835,21026,2621,0.06596033686498234
267,103 ST-CORONA,03/26/2020,3815,21026,2621,0.06487367563162184
268,103 ST-CORONA,03/27/2020,3732,21026,2621,0.060364031513175764
269,103 ST-CORONA,12/28/2019,14003,21026,2621,0.6184189079054605
270,103 ST-CORONA,12/29/2019,10703,21026,2621,0.439119804400978
271,103 ST-CORONA,12/30/2019,16794,21026,2621,0.7700624830209182
272,103 ST-CORONA,12/31/2019,16291,21026,2621,0.7427329530019017
273,104 ST,01/01/2020,1408,4640,494,0.22045344910757356
274,104 ST,01/02/2020,4094,4640,494,0.8683068017366136
275,104 ST,01/03/2020,4178,4640,494,0.8885672937771346
276,104 ST,01/04/2020,1933,4640,494,0.34708152436082973
277,104 ST,01/05/2020,1519,4640,494,0.24722624216111916
278,104 ST,01/06/2020,4372,4640,494,0.9353593825373855
279,104 ST,01/07/2020,4486,4640,494,0.9628557645923782
280,104 ST,01/08/2020,4342,4640,494,0.9281234925229137
281,104 ST,01/09/2020,4301,4640,494,0.9182344428364689
282,104 ST,01/10/2020,4458,4640,494,0.9561022672455378
283,104 ST,01/11/2020,850,4640,494,0.08586589483839846
284,104 ST,01/12/2020,595,4640,494,0.024360829715388325
285,104 ST,01/13/2020,4376,4640,494,0.9363241678726484
286,104 ST,01/14/2020,4458,4640,494,0.9561022672455378
287,104 ST,01/15/2020,4466,4640,494,0.9580318379160637
288,104 ST,01/16/2020,4470,4640,494,0.9589966232513266
289,104 ST,01/17/2020,4293,4640,494,0.916304872165943
290,104 ST,01/18/2020,1815,4640,494,0.31862035697057406
291,104 ST,01/19/2020,1441,4640,494,0.2284129281234925
292,104 ST,01/20/2020,2681,4640,494,0.5274963820549927
293,104 ST,01/21/2020,3485,4640,494,0.7214182344428365
294,104 ST,01/22/2020,4049,4640,494,0.8574529667149059
295,104 ST,01/23/2020,4114,4640,494,0.8731307284129282
296,104 ST,01/24/2020,4146,4640,494,0.8808490110950313
297,104 ST,01/25/2020,1158,4640,494,0.16015436565364208
298,104 ST,01/26/2020,980,4640,494,0.11722141823444283
299,104 ST,01/27/2020,4224,4640,494,0.899662325132658
300,104 ST,01/28/2020,4545,4640,494,0.9770863482875061
301,104 ST,01/29/2020,4611,4640,494,0.9930053063193439
302,104 ST,01/30/2020,4490,4640,494,0.9638205499276411
303,104 ST,01/31/2020,4497,4640,494,0.9655089242643512
304,104 ST,02/01/2020,2118,4640,494,0.391702846116739
305,104 ST,02/02/2020,1520,4640,494,0.24746743849493488
306,104 ST,02/03/2020,4346,4640,494,0.9290882778581766
307,104 ST,02/04/2020,4638,4640,494,0.9995176073323685
308,104 ST,02/05/2020,4564,4640,494,0.9816690786300049
309,104 ST,02/06/2020,4480,4640,494,0.9614085865894838
310,104 ST,02/07/2020,4394,4640,494,0.9406657018813314
311,104 ST,02/08/2020,1395,4640,494,0.21731789676796912
312,104 ST,02/09/2020,1010,4640,494,0.12445730824891461
313,104 ST,02/10/2020,4348,4640,494,0.929570670525808
314,104 ST,02/11/2020,4489,4640,494,0.9635793535938254
315,104 ST,02/12/2020,4436,4640,494,0.9507959479015919
316,104 ST,02/13/2020,4514,4640,494,0.9696092619392185
317,104 ST,02/14/2020,4306,4640,494,0.9194404245055475
318,104 ST,02/15/2020,1997,4640,494,0.3625180897250362
319,104 ST,02/16/2020,1491,4640,494,0.24047274481427883
320,104 ST,02/17/2020,2663,4640,494,0.5231548480463097
321,104 ST,02/18/2020,3961,4640,494,0.8362276893391221
322,104 ST,02/19/2020,4193,4640,494,0.8921852387843705
323,104 ST,02/20/2020,4007,4640,494,0.8473227206946454
324,104 ST,02/21/2020,3876,4640,494,0.8157260009647853
325,104 ST,02/22/2020,2112,4640,494,0.39025566811384466
326,104 ST,02/23/2020,1513,4640,494,0.24577906415822479
327,104 ST,02/24/2020,4462,4640,494,0.9570670525808008
328,104 ST,02/25/2020,4576,4640,494,0.9845634346357935
329,104 ST,02/26/2020,4508,4640,494,0.9681620839363242
330,104 ST,02/27/2020,4640,4640,494,1.0
331,104 ST,02/28/2020,4346,4640,494,0.9290882778581766
332,104 ST,02/29/2020,2105,4640,494,0.3885672937771346
333,104 ST,03/01/2020,1473,4640,494,0.23613121080559576
334,104 ST,03/02/2020,4531,4640,494,0.9737095996140859
335,104 ST,03/03/2020,4602,4640,494,0.9908345393150024
336,104 ST,03/04/2020,4555,4640,494,0.9794983116256633
337,104 ST,03/05/2020,4490,4640,494,0.9638205499276411
338,104 ST,03/06/2020,4388,4640,494,0.9392185238784371
339,104 ST,03/07/2020,2023,4640,494,0.36878919440424507
340,104 ST,03/08/2020,1239,4640,494,0.17969126869271587
341,104 ST,03/09/2020,4150,4640,494,0.8818137964302942
342,104 ST,03/10/2020,4220,4640,494,0.8986975397973951
343,104 ST,03/11/2020,4141,4640,494,0.8796430294259527
344,104 ST,03/12/2020,3875,4640,494,0.8154848046309696
345,104 ST,03/13/2020,3533,4640,494,0.7329956584659914
346,104 ST,03/14/2020,1621,4640,494,0.2718282682103232
347,104 ST,03/15/2020,1080,4640,494,0.14134105161601543
348,104 ST,03/16/2020,2494,4640,494,0.482392667631452
349,104 ST,03/17/2020,2163,4640,494,0.40255668113844667
350,104 ST,03/18/2020,2061,4640,494,0.37795465508924264
351,104 ST,03/19/2020,1845,4640,494,0.32585624698504584
352,104 ST,03/20/2020,1723,4640,494,0.29643029425952727
353,104 ST,03/21/2020,767,4640,494,0.0658465991316932
354,104 ST,03/22/2020,494,4640,494,0.0
355,104 ST,03/23/2020,916,4640,494,0.10178485287023638
356,104 ST,03/24/2020,900,4640,494,0.09792571152918475
357,104 ST,03/25/2020,802,4640,494,0.0742884708152436
358,104 ST,03/26/2020,821,4640,494,0.0788712011577424
359,104 ST,03/27/2020,756,4640,494,0.06319343945972021
360,104 ST,12/28/2019,2150,4640,494,0.3994211287988423
361,104 ST,12/29/2019,1592,4640,494,0.26483357452966716
362,104 ST,12/30/2019,3470,4640,494,0.7178002894356006
363,104 ST,12/31/2019,3259,4640,494,0.6669078630004824
364,110 ST,01/01/2020,3938,11020,1203,0.278598349801365
365,110 ST,01/02/2020,9540,11020,1203,0.849241112356117
366,110 ST,01/03/2020,9631,11020,1203,0.8585107466639503
367,110 ST,01/04/2020,5801,11020,1203,0.46837119282876644
368,110 ST,01/05/2020,4419,11020,1203,0.327594988285627
369,110 ST,01/06/2020,10156,11020,1203,0.9119894061322196
370,110 ST,01/07/2020,10469,11020,1203,0.9438728735866354
371,110 ST,01/08/2020,10575,11020,1203,0.9546704695935622
372,110 ST,01/09/2020,10533,11020,1203,0.9503921768361007
373,110 ST,01/10/2020,10894,11020,1203,0.9871651217276154
374,110 ST,01/11/2020,6216,11020,1203,0.5106447998370174
375,110 ST,01/12/2020,4534,11020,1203,0.3393093613120098
376,110 ST,01/13/2020,11020,11020,1203,1.0
377,110 ST,01/14/2020,10439,11020,1203,0.9408169501884486
378,110 ST,01/15/2020,10799,11020,1203,0.9774880309666905
379,110 ST,01/16/2020,10693,11020,1203,0.9666904349597637
380,110 ST,01/17/2020,10689,11020,1203,0.9662829785066721
381,110 ST,01/18/2020,4978,11020,1203,0.3845370276051747
382,110 ST,01/19/2020,4375,11020,1203,0.32311296730161965
383,110 ST,01/20/2020,6157,11020,1203,0.5046348171539167
